,anion,anion_smiles,cation,cation_smiles
52,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium,C[N+]1(CCCC1)CCOC
53,tris(pentafluoroethyl)trifluorophosphate,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,1-(2-methoxyethyl)-1-methylpyrrolidinium,C[N+]1(CCCC1)CCOC
54,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-(2-methoxyethyl)-3-methyl-imidazolium,O(C)CCn1cc[n+](c1)C
55,tetrafluoroborate,[B-](F)(F)(F)F,1-(2-methoxyethyl)-3-methyl-imidazolium,O(C)CCn1cc[n+](c1)C
56,cyanocyanamide,C(#N)[N-]C#N,1-(3-cyanopropyl)-3-methylimidazolium,N#CCCCn1cc[n+](c1)C
57,bis(trifluoromethylsulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(3-hydroxypropyl)pyridinium,c1cc[n+](cc1)CCCO
58,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(3-methylbutyl)-3-methylimidazolium,c1c[n+](cn1CCC(C)C)C
59,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(4-methylpentyl)-3-methylimidazolium,CC(C)CCCn1cc[n+](c1)C
60,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-(5-methylhexyl)-3-methylimidazolium,c1cn(c([n+]1C))CCCCC(C)C
61,chloride,[Cl-],1-(6-hydroxyhexyl)imidazolium,OCCCCCC[nH+]1cc[n](c1)
62,bis(fluorosulfonyl)amide,[N-](S(=O)(=O)F)S(=O)(=O)F,1-(methoxymethyl)-1-methylpyrrolidinium,C[N+](COC)1C(CCC1)
63,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-[2-(ethylsulfonyl)ethyl]-3-methyl-1H-imidazol-3-ium,O=S(=O)(CC)CCn1cc[n+](c1)C
64,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium,C2=CN(C=[N+]2CCC#N)CCOC
65,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium,c1cn(c([n+]1C))CC=C
66,chloride,[Cl-],1-allyl-3-methylimidazolium,C[n+]1ccn(c1)CC=C
67,dicyanamide,C(#N)[N-]C#N,1-allyl-3-methylimidazolium,C[n+]1ccn(c1)CC=C
68,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-benzyl-3-butylimidazolium,CCCC[n+]1ccn(c1)Cc2ccccc2
69,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-benzyl-3-methyl-1H-imidazol-3-ium,CN1C=C[N+](=C1)CC2=CC=CC=C2
70,chloride,[Cl-],1-benzyl-3-methyl-1H-imidazolium,C[NH+]1CN(C=C1)CC2=CC=CC=C2
71,4-nitropyrazolide,c1c(cn[n-]1)[N+](=O)[O-],"1-but-1-enyl-2,3-dimethylimidazolium",CCCC[n+]1cc[n](c1(C))C
72,bis(trifluoromethanesulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1-methylpiperidinium,CCCC[N+]1(CCCCC1)C
73,dicyanamide,C(#N)[N-]C#N,1-butyl-1-methylpiperidinium,CCCC[N+]1(CCCCC1)C
74,thiocyanate,C(#N)[S-],1-butyl-1-methylpiperidinium,CCCC[N+]1(CCCCC1)C
75,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-butyl-1-methylpiperidinium,CCCC[N+]1(CCCCC1)C
77,acetate,CC(=O)[O-],1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
79,bis(fluorosulfonyl)amide,[N-](S(=O)(=O)F)S(=O)(=O)F,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
80,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
81,dicyanamide,C(#N)[N-]C#N,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
82,tetracyanoborate,N#C[B-](C#N)(C#N)C#N,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
83,thiocyanate,C(#N)[S-],1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
84,tricyanomethanide,C(=C(C#N)C#N)=[N-],1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
85,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
86,tris(pentafluoroethyl)trifluorophosphate,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,1-butyl-1-methylpyrrolidinium,CCCC[N+]1(CCCC1)C
87,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-1H-benzimidazolium,CCCC[N+]1=CN(C2=CC=CC=C21)
88,bis(trifluoromethylsulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1-butyl-2,3-dimethyl-1H-imidazolium",CCCCn1cc[n+](c1C)C
89,trifluorotris(perfluoroethyl)phosphate(V),C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,"1-butyl-2,3-dimethyl-1H-imidazolium",CCCCn1cc[n+](c1C)C
