,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K",salt_name,"Heat capacity at constant pressure, J/K/mol","Viscosity, Pa&#8226;s"
164,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03429
165,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.032510000000000004
166,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0334
167,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0318
168,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.0326
169,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03249
170,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,504.8,0.03246
171,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0365
172,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0341
173,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03429
174,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.032510000000000004
175,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0334
176,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0318
177,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.0326
178,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03249
179,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,524.0,0.03246
180,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0365
181,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0341
182,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03429
183,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.032510000000000004
184,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0334
185,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0318
186,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.0326
187,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03249
188,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,512.0,0.03246
189,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0365
190,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0341
191,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03429
192,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.032510000000000004
193,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0334
194,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0318
195,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.0326
196,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03249
197,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,509.2,0.03246
198,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0365
199,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0341
200,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03429
201,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.032510000000000004
202,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0334
203,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0318
204,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.0326
205,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03249
206,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,505.7,0.03246
207,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0365
208,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0341
209,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.03429
210,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.032510000000000004
211,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0334
212,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0318
213,101.325,1525.2,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,462.0,0.0326
