,anion,anion_smiles,cation,cation_smiles
67,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-2-heptylpyridin-1-ium,CCCCCCC[n+]1ccccc1CC
68,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-2-hexylpyridin-1-ium,CCCCCC[n+]1ccccc1CC
69,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-2-methylpyridinium,CC[n+]1ccccc1C
71,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-2-octylpyridin-1-ium,CCCCCCCC[n+]1ccccc1CC
72,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-2-pentylpyridin-1-ium,CC[n+]1cccc(c1(CCCCC))
73,bis((trifluoromethyl)sulfonyl)imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-2-propylpyridin-1-ium,CCC[n+]1ccccc1CC
74,"1,1,2,2-tetrafluoroethane-1-sulfonate",C(C(F)(F)S(=O)(=O)[O-])(F)F,1-ethyl-3-methyl-1H-imidazolium,CC[n+]1cn(cc1)C
75,tricyanomethanide,C(=C(C#N)C#N)=[N-],1-ethyl-3-methyl-1H-imidazolium,CC[n+]1cn(cc1)C
76,4-methylbenzenesulfonate,Cc1ccc(cc1)S(=O)(=O)[O-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
77,acetate,CC(=O)[O-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
78,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
79,bromide,[Br-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
80,dicyanamide,C(#N)[N-]C#N,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
81,diethylphosphate,CCOP(=O)([O-])OCC,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
82,dimethylphosphate,COP(=O)([O-])OC,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
83,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
84,methanesulfonate,CS(=O)(=O)[O-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
85,methylsulfate,COS(=O)(=O)[O-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
86,phenolate,C1=CC=C(C=C1)[O-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
87,tetracyanoborate,N#C[B-](C#N)(C#N)C#N,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
88,tetrafluoroborate,[B-](F)(F)(F)F,1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
89,thiocyanate,C(#N)[S-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
90,trifluoroacetate,C(=O)(C(F)(F)F)[O-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
91,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
92,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-3-methylpyridinium,CC[n+]1cccc(c1)C
93,ethylsulfate,CCOS(=O)(=O)[O-],1-ethyl-3-methylpyridinium,CC[n+]1cccc(c1)C
94,bis((trifluoromethyl)sulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-4-methylpyridinium,CC[n+]1ccc(cc1)C
95,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethylpyridinium,CC[n+]1ccccc1
96,bromide,[Br-],1-ethylpyridinium,CC[n+]1ccccc1
97,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-ethylpyridinium,CC[n+]1ccccc1
98,triflate,C(F)(F)(F)S(=O)(=O)[O-],1-ethylpyridinium,CC[n+]1ccccc1
99,bis(trifluoromethylsulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-heptyl-3-methylimidazolium,c1c[n+](cn1CCCCCCC)C
100,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-heptyl-3-methylimidazolium,c1c[n+](cn1CCCCCCC)C
103,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1-hexyl-2,3-dimethylimidazolium",Cn1cc[n+](c1C)CCCCCC
104,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"1-hexyl-3,5-dimethylpyridinium",c1c(C)c(CC)[n+](cc(C)1)CCCCCC
105,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-3-methyl-4-(dimethylamino)pyridinium,CN(C)c1c(C)c[n+](cc1)CCCCCC
107,bis[(trifluoromethyl)sulfonyl]imide,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
108,dicyanamide,C(#N)[N-]C#N,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
109,hexafluorophosphate,F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
110,iodide,[I-],1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
111,phenolate,C1=CC=C(C=C1)[O-],1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
112,tetrafluoroborate,[B-](F)(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
113,trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-],1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
114,tris(pentafluoroethyl)trifluorophosphate,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
115,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-3-methylpyridinium,CCCCCCC[n+]1cc(C)ccc1
116,bromide,[Br-],1-hexyl-3-methylpyridinium,CCCCCCC[n+]1cc(C)ccc1
117,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium,C2(C)CCN(CC2)c1cc[n+](cc1)CCCCCC
118,bis(trifluoromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexyl-4-cyanopyridinium,CCCCCC[n+]1ccc(C#N)cc1
119,bis(trifluromethylsulfonyl)imide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexylpyridinium,CCCCCC[n+]1ccccc1
120,bis(trifluoromethylsulfonyl)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-hexylquinolinium,CCCCCC[n+]1cccc2c1cccc2
